X,Y,Z
-8, -13, 60
-8, -14, 59
-9, -14, 59
-9, -14, 58
-9, -15, 58
-9, -15, 57
-9, -16, 57
-10, -16, 56
-10, -16, 56
-10, -17, 55
-10, -17, 55
-11, -18, 55
-11, -18, 54
-11, -19, 54
-12, -19, 53
-12, -20, 53
-12, -21, 53
-13, -21, 52
-13, -22, 52
-13, -22, 52
-14, -23, 51
-14, -24, 51
-14, -24, 51
-15, -25, 51
-15, -26, 51
-16, -27, 50
-16, -27, 50
-16, -28, 50
-17, -29, 50
-17, -30, 50
-18, -31, 50
-18, -32, 50
-19, -33, 50
-19, -34, 50
-20, -35, 50
-21, -36, 50
-21, -37, 50
-22, -38, 51
-22, -39, 51
-23, -40, 51
-24, -41, 51
-24, -43, 52
-25, -44, 52
-26, -45, 53
-27, -46, 53
-27, -48, 54
-28, -49, 55
-29, -50, 55
-30, -52, 56
-31, -53, 57
-32, -54, 58
-32, -56, 59
-33, -57, 60
-34, -59, 61
-35, -60, 63
-36, -62, 64
-37, -63, 65
-38, -64, 67
-39, -66, 69
-40, -67, 70
-41, -69, 72
-42, -70, 74
-43, -71, 76
-45, -72, 78
-46, -73, 81
-47, -74, 83
-48, -75, 85
-49, -76, 88
-50, -77, 91
-51, -78, 93
-52, -79, 96
-53, -79, 99
-54, -79, 102
-55, -79, 105
-56, -80, 108
-57, -79, 111
-58, -79, 115
-59, -79, 118
-59, -78, 121
-60, -77, 124
-61, -76, 127
-61, -75, 131
-62, -73, 134
-62, -72, 137
-63, -70, 139
-63, -68, 142
-63, -66, 145
-63, -64, 147
-63, -61, 150
-63, -59, 152
-63, -56, 154
-63, -53, 156
-62, -50, 157
-62, -47, 158
-61, -44, 160
-61, -41, 161
-60, -38, 161
-59, -35, 162
-58, -32, 162
-57, -29, 162
-56, -26, 162
-55, -23, 162
-54, -21, 161
-52, -18, 161
-51, -15, 160
-50, -13, 159
-48, -11, 158
-47, -8, 157
-45, -6, 155
-44, -4, 154
